Species,Weight,Length1,Length2,Length3,Height,Width,price
Roach,40,12.9,14.1,16.2,4.1472,2.268,414.9441658
Roach,69,16.5,18.2,20.3,5.2983,2.8217,794.6524526
Roach,78,17.5,18.8,21.2,5.5756,2.9044,526.0198885
Roach,87,18.2,19.8,22.2,5.6166,3.1746,452.1155073
Roach,120,18.6,20,22.2,6.216,3.5742,953.6333031
Roach,0,19,20.5,22.8,6.4752,3.3516,720.2810706
Roach,110,19.1,20.8,23.1,6.1677,3.3957,641.0587818
Roach,120,19.4,21,23.7,6.1146,3.2943,828.7510785
Roach,150,20.4,22,24.7,5.8045,3.7544,608.8719174
Roach,145,20.5,22,24.3,6.6339,3.5478,963.514264
Roach,160,20.5,22.5,25.3,7.0334,3.8203,340.7140157
Roach,140,21,22.5,25,6.55,3.325,1029.477591
Roach,160,21.1,22.5,25,6.4,3.8,882.5390786
Roach,169,22,24,27.2,7.5344,3.8352,316.6655746
Roach,161,22,23.4,26.7,6.9153,3.6312,312.2889083
Roach,200,22.1,23.5,26.8,7.3968,4.1272,305.6290821
Roach,180,23.6,25.2,27.9,7.0866,3.906,1092.318703
Roach,290,24,26,29.2,8.8768,4.4968,422.8193701
Roach,272,25,27,30.6,8.568,4.7736,260.3932059
Roach,390,29.5,31.7,35,9.485,5.355,1084.354106
Whitefish,270,23.6,26,28.7,8.3804,4.2476,1070.211567
Whitefish,270,24.1,26.5,29.3,8.1454,4.2485,294.4463009
Whitefish,306,25.6,28,30.8,8.778,4.6816,343.9794554
Whitefish,540,28.5,31,34,10.744,6.562,266.3285272
Whitefish,800,33.7,36.4,39.6,11.7612,6.5736,1017.824659
Whitefish,1000,37.3,40,43.5,12.354,6.525,366.9567057
Parkki,55,13.5,14.7,16.5,6.8475,2.3265,752.8312547
Parkki,60,14.3,15.5,17.4,6.5772,2.3142,456.1288514
Parkki,90,16.3,17.7,19.8,7.4052,2.673,432.8557272
Parkki,120,17.5,19,21.3,8.3922,2.9181,579.9946383
Parkki,150,18.4,20,22.4,8.8928,3.2928,833.721745
Parkki,140,19,20.7,23.2,8.5376,3.2944,835.1928123
Parkki,170,19,20.7,23.2,9.396,3.4104,605.9375508
Parkki,145,19.8,21.5,24.1,9.7364,3.1571,622.5334099
Parkki,200,21.2,23,25.8,10.3458,3.6636,690.6235947
Parkki,273,23,25,28,11.088,4.144,1000.443063
Parkki,300,24,26,29,11.368,4.234,736.9082315
Perch,5.9,7.5,8.4,8.8,2.112,1.408,1053.956653
Perch,32,12.5,13.7,14.7,3.528,1.9992,420.3141337
Perch,40,13.8,15,16,3.824,2.432,892.6824184
Perch,51.5,15,16.2,17.2,4.5924,2.6316,966.3927265
Perch,70,15.7,17.4,18.5,4.588,2.9415,970.4462439
Perch,100,16.2,18,19.2,5.2224,3.3216,1084.8442
Perch,78,16.8,18.7,19.4,5.1992,3.1234,269.1269862
Perch,80,17.2,19,20.2,5.6358,3.0502,273.7900142
Perch,85,17.8,19.6,20.8,5.1376,3.0368,323.8981653
Perch,85,18.2,20,21,5.082,2.772,754.7137786
Perch,110,19,21,22.5,5.6925,3.555,407.5680014
Perch,115,19,21,22.5,5.9175,3.3075,717.4786881
Perch,125,19,21,22.5,5.6925,3.6675,462.4376103
Perch,130,19.3,21.3,22.8,6.384,3.534,895.7408153
Perch,120,20,22,23.5,6.11,3.4075,922.7423178
Perch,120,20,22,23.5,5.64,3.525,520.8700705
Perch,130,20,22,23.5,6.11,3.525,622.1555795
Perch,135,20,22,23.5,5.875,3.525,294.0555016
Perch,110,20,22,23.5,5.5225,3.995,1001.618201
Perch,130,20.5,22.5,24,5.856,3.624,874.1351234
Perch,150,20.5,22.5,24,6.792,3.624,371.4218184
Perch,145,20.7,22.7,24.2,5.9532,3.63,741.7827289
Perch,150,21,23,24.5,5.2185,3.626,270.1385849
Perch,170,21.5,23.5,25,6.275,3.725,675.632202
Perch,225,22,24,25.5,7.293,3.723,263.2575963
Perch,145,22,24,25.5,6.375,3.825,444.6638121
Perch,188,22.6,24.6,26.2,6.7334,4.1658,855.0947823
Perch,180,23,25,26.5,6.4395,3.6835,995.933806
Perch,197,23.5,25.6,27,6.561,4.239,471.1989797
Perch,218,25,26.5,28,7.168,4.144,997.7640345
Perch,300,25.2,27.3,28.7,8.323,5.1373,867.8281591
Perch,260,25.4,27.5,28.9,7.1672,4.335,393.350299
Perch,265,25.4,27.5,28.9,7.0516,4.335,915.7822109
Perch,250,25.4,27.5,28.9,7.2828,4.5662,803.1976284
Perch,250,25.9,28,29.4,7.8204,4.2042,490.8375526
Perch,300,26.9,28.7,30.1,7.5852,4.6354,732.4418737
Perch,320,27.8,30,31.6,7.6156,4.7716,496.0687026
Perch,514,30.5,32.8,34,10.03,6.018,1090.443876
Perch,556,32,34.5,36.5,10.2565,6.3875,415.6982367
Perch,840,32.5,35,37.3,11.4884,7.7957,830.4898902
Perch,685,34,36.5,39,10.881,6.864,1074.297124
Perch,700,34,36,38.3,10.6091,6.7408,399.1445566
Perch,700,34.5,37,39.4,10.835,6.2646,334.1673306
Perch,690,34.6,37,39.3,10.5717,6.3666,558.0437293
Perch,900,36.5,39,41.4,11.1366,7.4934,901.7593371
Perch,650,36.5,39,41.4,11.1366,6.003,418.4142152
Perch,820,36.6,39,41.3,12.4313,7.3514,521.9698477
Perch,850,36.9,40,42.3,11.9286,7.1064,1043.505774
Perch,900,37,40,42.5,11.73,7.225,866.3900851
Perch,1015,37,40,42.4,12.3808,7.4624,870.7750051
Perch,820,37.1,40,42.5,11.135,6.63,964.2192158
Perch,1100,39,42,44.6,12.8002,6.8684,662.6953892
Perch,1000,39.8,43,45.2,11.9328,7.2772,741.11511
Perch,1100,40.1,43,45.5,12.5125,7.4165,797.9571958
Perch,1000,40.2,43.5,46,12.604,8.142,467.3239991
Perch,1000,41.1,44,46.6,12.4888,7.5958,459.2597551
Pike,200,30,32.3,34.8,5.568,3.3756,977.8353284
Pike,300,31.7,34,37.8,5.7078,4.158,587.6827764
Pike,300,32.7,35,38.8,5.9364,4.3844,714.3329986
Pike,300,34.8,37.3,39.8,6.2884,4.0198,788.1437264
Pike,430,35.5,38,40.5,7.29,4.5765,598.9104123
Pike,345,36,38.5,41,6.396,3.977,608.2786816
Pike,456,40,42.5,45.5,7.28,4.3225,313.6896309
Pike,510,40,42.5,45.5,6.825,4.459,424.6381894
Pike,540,40.1,43,45.8,7.786,5.1296,875.154016
Pike,500,42,45,48,6.96,4.896,257.0805963
Pike,567,43.2,46,48.7,7.792,4.87,639.0480685
Pike,770,44.8,48,51.2,7.68,5.376,1066.936596
Pike,950,48.3,51.7,55.1,8.9262,6.1712,262.2767131
Pike,1250,52,56,59.7,10.6863,6.9849,538.1096273
Pike,1600,56,60,64,9.6,6.144,718.4046476
Pike,1550,56,60,64,9.6,6.144,353.562668
Pike,1650,59,63.4,68,10.812,7.48,635.6587558
Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476,370.8095487
Smelt,7.5,10,10.5,11.6,1.972,1.16,266.3380793
Smelt,7,10.1,10.6,11.6,1.7284,1.1484,567.0885601
Smelt,9.7,10.4,11,12,2.196,1.38,610.1517392
Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772,692.5859834
Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852,1028.740342
Smelt,10,11.3,11.8,13.1,2.2139,1.2838,366.313
Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659,318.6972579
Smelt,9.8,11.4,12,13.2,2.2044,1.1484,355.2081982
Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936,830.9694367
Smelt,13.4,11.7,12.4,13.5,2.43,1.269,487.8687317
Smelt,12.2,12.1,13,13.8,2.277,1.2558,1062.718727
Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672,851.2485191
Smelt,19.9,13.8,15,16.2,2.9322,1.8792,580.5287348
